	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
3-0	26	1	GREEN_1	6	156	1	CH4_COMBAT_1	NPC_GOBLIN,NPC_GOBLIN	NPC_STONE_IMP,NPC_MYSTIC_WILDLING	CRIMSON_WITCH,[boss]CENTAUR_OF_ATTENTION,FAITH_HEALER	SHARD_MACE_OF_FRIENDSHIP,GLOVES_OF_CRIT,SHARD_REEL_DECODER_RING	PAPER_CROWN,FOAM_FINGER
3-1	26	1	GREEN_1	6	158	0	CH4_COMBAT_SM	NPC_STONE_IMP	NPC_STONE_IMP,NPC_WILDLING_ARCHER	DRAGON_LADY,[boss]ELECTROYETI,NPC_ICE_GOLEM,NPC_ICE_GOLEM	SHARD_MACE_OF_FRIENDSHIP,BESSIES_BANE,SHARD_IMPRACTICAL_CHESTPLATE	GLOVES_OF_CRIT,FOAM_FINGER,PAPER_CROWN
3-2	27	1	GREEN_1	6	161	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_ICE_GOLEM	NINJA_DWARF,NPC_ICE_GOLEM	[boss]DARK_DRACUL,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,CRIMSON_WITCH	GLOVES_OF_CRIT,REEL_GOBLIN_WHACKER,REEL_BAG_O_HAMMERS	SHARD_REEL_DECODER_RING,MY_FIRST_SHIELD,SHARD_MACE_OF_FRIENDSHIP
3-3	27	1	GREEN_1	6	163	1	CH4_COMBAT_2	POLEMASTER,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	BROZERKER,NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]ELECTROYETI,NPC_MYSTIC_WILDLING	SHARD_IMPRACTICAL_CHESTPLATE,REEL_BAG_O_HAMMERS,REEL_PLASTIC_VAMPIRE_TEETH	FINE_BRIE,MY_FIRST_SHIELD,FREE_MANS_CROWBAR
3-4	28	1	GREEN_1	6	166	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER	NINJA_DWARF,ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,POLEMASTER,ELECTROYETI,[boss]CRIMSON_WITCH	SHARD_REEL_DECODER_RING,BIT_O_NIP,REEL_PLASTIC_VAMPIRE_TEETH	SHARD_IMPRACTICAL_CHESTPLATE,SHARD_MACE_OF_FRIENDSHIP,FINE_BRIE
3-5	28	1	GREEN_1	6	168	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_STONE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM	ROLLER_WARRIOR,BROZERKER,NPC_MYSTIC_WILDLING,[boss]COSMIC_ELF	SHARD_IMPRACTICAL_CHESTPLATE,SHARD_THE_UGLY_STICK,SHARD_STAFF_OF_BOSS_FIGHTING	REEL_THE_POWER_OF_MEDICINE,REEL_PLASTIC_VAMPIRE_TEETH,REEL_BAG_O_HAMMERS
3-6	29	1	GREEN_1	6	171	1	CH4_COMBAT_3	NPC_STONE_IMP,NPC_ICE_GOLEM	POLEMASTER,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	[boss]HYDRA,ELECTROYETI,NPC_WILDLING_ARCHER	SHARD_STAFF_OF_BOSS_FIGHTING,REEL_THE_POWER_OF_MEDICINE,SHARD_SACRED_CODEX	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS,GOBLIN_GROG
3-7	29	1	GREEN_1	6	173	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_STONE_IMP,NPC_STONE_IMP,NPC_ICE_GOLEM,FAITH_HEALER	BROZERKER,[boss]NINJA_DWARF,NPC_WILDLING_SNIPER	REEL_BAG_O_HAMMERS,REEL_MAGIC_EIGHT_BALL,REEL_THE_POWER_OF_MEDICINE	SHARD_SACRED_CODEX,REEL_PLASTIC_VAMPIRE_TEETH,ENCHANTED_ELBOW_PADS
3-8	30	1	GREEN_1	6	175	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_GOBLIN,BROZERKER,NPC_GOBLIN,[boss]CRIMSON_WITCH	REEL_PLASTIC_VAMPIRE_TEETH,REEL_SIDE_OF_BACON,SHARD_SACRED_CODEX	SHARD_AND_MY_AXE,MELTY_CHOCOLATE_BAR,LOADED_DIE
3-9	30	1	GREEN_1	6	178	1	CH4_COMBAT_1	BROZERKER,NPC_WILDLING_SNIPER	NPC_STONE_IMP,NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,DARK_DRACUL,NPC_CRYSTAL_GOLEM,[boss]FAITH_HEALER	SHARD_RACING_STRIPES,SHARD_AND_MY_AXE,MELTY_CHOCOLATE_BAR	LOADED_DIE,STICK_ON_MOUSTACHE,REEL_BLOODY_BAT
3-10	31	1	GREEN_1	6	180	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_STONE_IMP,NPC_STONE_IMP	NINJA_DWARF,ROLLER_WARRIOR,HYDRA,UNSTABLE_UNDERSTUDY	POLEMASTER,NPC_MYSTIC_WILDLING,[boss]COSMIC_ELF,FAITH_HEALER,NPC_ICE_GOLEM	SHARD_STAFF_OF_BOSS_FIGHTING,SHARD_GENTLEMENS_CLUB,SHARD_RACING_STRIPES	MELTY_CHOCOLATE_BAR,SHARD_SACRED_CODEX,BIT_O_NIP
3-11	31	1	GREEN_1	6	183	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,ELECTROYETI,NPC_ICE_GOLEM	[boss]ROLLER_WARRIOR,NINJA_DWARF,CENTAUR_OF_ATTENTION	REEL_THE_POWER_OF_MEDICINE,REEL_TEN_FOOT_POLE,SHARD_AND_MY_AXE	REEL_GOBLIN_WHACKER,SHARD_STAFF_OF_BOSS_FIGHTING,RUBBER_VEST
3-12	32	1	GREEN_1	6	185	1	CH4_COMBAT_3	ROLLER_WARRIOR,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_ICE_GOLEM	NPC_FIRE_IMP,[boss]HYDRA,CRIMSON_WITCH,NPC_CRYSTAL_GOLEM	REEL_VAMPIRE_BUNNYEARS,DAISY_CHAINSAW,BIT_O_NIP,IRON_ORE	RUBBER_VEST,FOAM_FINGER,STICK_ON_MOUSTACHE
3-13	32	1	GREEN_1	6	188	0	CH4_COMBAT_SM	NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_STONE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM	ROLLER_WARRIOR,POLEMASTER,[boss]ELECTROYETI,FAITH_HEALER	SHARD_SACRED_CODEX,SHARD_MUSCLE_WAX,MELTY_CHOCOLATE_BAR	BIT_O_NIP,SHARD_RACING_STRIPES,STOLEN_SNEAKERS
3-14	33	1	GREEN_1	6	190	0	CH4_COMBAT_SM	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER	BROZERKER,POLEMASTER,[boss]CRIMSON_WITCH,NPC_WILDLING_ARCHER	SHARD_RACING_STRIPES,SHARD_MACE_OF_FRIENDSHIP,BESSIES_BANE	REEL_MAGIC_EIGHT_BALL,BIT_O_NIP,REEL_CHUNKY_FEMUR
3-15	33	1	GREEN_1	6	193	1	CH4_COMBAT_2	CENTAUR_OF_ATTENTION	NPC_STONE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,[boss]UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER,FAITH_HEALER	SHARD_THE_UGLY_STICK,REEL_MAGIC_EIGHT_BALL,REEL_SIDE_OF_BACON	BIT_O_NIP,REEL_BLOODY_BAT,REEL_GOBLIN_WHACKER
3-16	34	1	GREEN_1	6	195	0	CH4_COMBAT_SM	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING	NPC_FIRE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	DRAGON_LADY,ELECTROYETI,[boss]CRIMSON_WITCH	SHARD_AND_MY_AXE,GLOVES_OF_CRIT,REEL_GOBLIN_WHACKER	REEL_SIDE_OF_BACON,BESSIES_BANE,REEL_LUCKY_ORCS_FOOT
3-17	34	1	GREEN_1	6	197	0	CH4_COMBAT_SM	NPC_STONE_IMP,ELECTROYETI,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NINJA_DWARF,COSMIC_ELF,[boss]HYDRA,NPC_ICE_GOLEM	MELTY_CHOCOLATE_BAR,SHARD_REEL_DECODER_RING,BIT_O_NIP	REEL_TEN_FOOT_POLE,REEL_SIDE_OF_BACON,PAPER_CROWN
3-18	35	1	GREEN_1	6	200	1	CH4_COMBAT_4	NPC_FIRE_IMP,NPC_GOBLIN,NPC_MYSTIC_WILDLING	NPC_FIRE_IMP,NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	ROLLER_WARRIOR,[boss]HYDRA,NPC_ICE_GOLEM,CENTAUR_OF_ATTENTION	SHARD_GENTLEMENS_CLUB,REEL_TEN_FOOT_POLE,SHARD_MUSCLE_WAX	STOLEN_SNEAKERS,WAND_OF_GOLD_SPARKLES,REEL_GOBLIN_WHACKER
4-0	36	1	BLUE	6	203	1	CH2_COMBAT_1	NPC_STONE_IMP	POLEMASTER	BROZERKER,COSMIC_ELF,[boss]CENTAUR_OF_ATTENTION	SHARD_REEL_LASER_POINTER,SHARD_REEL_INTIMIDATING_BEARD,REEL_CHUNKY_FEMUR	REEL_GOBLIN_WHACKER,LOAFERS_OF_ALACRITY,GOBLIN_GROG
4-1	36	1	BLUE	6	207	0	CH6_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	BROZERKER,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM	[boss]POLEMASTER,ROLLER_WARRIOR,COSMIC_ELF,NPC_CRYSTAL_GOLEM	SHARD_REEL_LASER_POINTER,SHARD_REEL_NECRONOMICON,ENCHANTED_ELBOW_PADS	SHARD_REEL_INTIMIDATING_BEARD,SHARD_GENTLEMENS_CLUB,FINE_BRIE
4-2	37	1	BLUE	6	210	0	CH6_COMBAT_SM	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_STONE_IMP,DRAGON_LADY,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,COSMIC_ELF,[boss]ELECTROYETI,CRIMSON_WITCH	SHARD_REEL_INTIMIDATING_BEARD,PENETRABLE_ARMOR,SHARD_REEL_KINDNESS	REEL_CHUNKY_FEMUR,LOAFERS_OF_ALACRITY,MY_FIRST_SHIELD
4-3	37	1	BLUE	6	214	1	CH6_COMBAT_2	NPC_GOBLIN,NPC_GOBLIN,ELECTROYETI	NPC_GOBLIN,NPC_GOBLIN,CRIMSON_WITCH,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	DRAGON_LADY,NPC_MYSTIC_WILDLING,CENTAUR_OF_ATTENTION,[boss]FAITH_HEALER	ENCHANTED_ELBOW_PADS,SHARD_REEL_KINDNESS,SHARD_REEL_INTIMIDATING_BEARD	REEL_CHUNKY_FEMUR,SMARTY_PANTS,FREE_MANS_CROWBAR
4-4	38	1	BLUE	6	217	0	CH6_COMBAT_SM	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,COSMIC_ELF,NPC_WILDLING_ARCHER	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_STONE_IMP,ROLLER_WARRIOR,ELECTROYETI,[boss]UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	REEL_CHUNKY_FEMUR,FINE_BRIE,SHARD_REEL_INTIMIDATING_BEARD	SHARD_REEL_KINDNESS,SHARD_REEL_LASER_POINTER,ENCHANTED_ELBOW_PADS
4-5	38	1	BLUE	6	221	0	CH6_COMBAT_SM	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,CENTAUR_OF_ATTENTION	ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	DRAGON_LADY,BROZERKER,[boss]COSMIC_ELF,NPC_CRYSTAL_GOLEM	ENCHANTED_ELBOW_PADS,SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,SHARD_DONT_TASE_ME_BOW	SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_KINDNESS,LOADED_DIE
4-6	33	2	BLUE	6	224	1	CH6_COMBAT_3	POLEMASTER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_STONE_IMP,NPC_STONE_IMP,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	NPC_GOBLIN,NPC_GOBLIN,[boss]MOON_DRAKE,CENTAUR_OF_ATTENTION	SHARD_DONT_TASE_ME_BOW,LOAFERS_OF_ALACRITY,STOLEN_SNEAKERS	ENCHANTED_ELBOW_PADS,REEL_CHUNKY_FEMUR,STICK_ON_MOUSTACHE
4-7	33	2	BLUE	6	228	0	CH6_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,COSMIC_ELF,ELECTROYETI	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,FAITH_HEALER,CRIMSON_WITCH	NPC_FIRE_IMP,[boss]UNSTABLE_UNDERSTUDY,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	SHARD_REEL_KINDNESS,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,LOAFERS_OF_ALACRITY	SHARD_REEL_INTIMIDATING_BEARD,ENCHANTED_ELBOW_PADS,BIT_O_NIP
4-8	34	2	BLUE	6	231	0	CH6_COMBAT_SM	DRAGON_LADY,CENTAUR_OF_ATTENTION,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_STONE_IMP,COSMIC_ELF,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]BROZERKER,UNSTABLE_UNDERSTUDY,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	SHARD_REEL_INTIMIDATING_BEARD,SMARTY_PANTS,STOLEN_SNEAKERS	SHARD_DONT_TASE_ME_BOW,LOAFERS_OF_ALACRITY,RUBBER_VEST
4-9	34	2	BLUE	6	234	1	CH2_COMBAT_1	NPC_FIRE_IMP,NPC_FIRE_IMP,BROZERKER,NPC_ICE_GOLEM	POLEMASTER,NPC_MYSTIC_WILDLING,UNSTABLE_UNDERSTUDY,CENTAUR_OF_ATTENTION	NINJA_DWARF,COSMIC_ELF,[boss]ELECTROYETI,CRIMSON_WITCH,NPC_WILDLING_ARCHER	SHARD_REEL_THE_MAD_GODS_TRIDENT,SHARD_REEL_LEAD_ZEPPELIN,REEL_BLOODY_BAT,IRON_ORE	PENETRABLE_ARMOR,STOLEN_SNEAKERS,REEL_GOBLIN_WHACKER
4-10	35	2	BLUE	6	238	0	CH6_COMBAT_SM	POLEMASTER,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	NPC_STONE_IMP,DRAGON_LADY,UNSTABLE_UNDERSTUDY,[boss]MOON_DRAKE,NPC_ICE_GOLEM,NPC_ICE_GOLEM	SHARD_DONT_TASE_ME_BOW,SHARD_REEL_THE_COMPENSATOR,SHARD_REEL_THE_MAD_GODS_TRIDENT	SHARD_REEL_LEAD_ZEPPELIN,STOLEN_SNEAKERS,REEL_LUCKY_ORCS_FOOT
4-11	35	2	BLUE	6	241	0	CH6_COMBAT_SM	NINJA_DWARF,NPC_MYSTIC_WILDLING,NPC_CRYSTAL_GOLEM	DRAGON_LADY,COSMIC_ELF,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	POLEMASTER,ELECTROYETI,NPC_WILDLING_SNIPER,[boss]CRIMSON_WITCH,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	LOAFERS_OF_ALACRITY,REEL_LUCKY_ORCS_FOOT,SHARD_REEL_LEAD_ZEPPELIN	REEL_BLOODY_BAT,STOLEN_SNEAKERS,REEL_CHUNKY_FEMUR
4-12	36	2	BLUE	6	245	1	CH6_COMBAT_3	DRAGON_LADY,NPC_WILDLING_SNIPER,CENTAUR_OF_ATTENTION	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NINJA_DWARF,MEDUSA,NPC_WILDLING_SNIPER,[boss]MOON_DRAKE,CRIMSON_WITCH	SHARD_REEL_NECRONOMICON,PENETRABLE_ARMOR,FINE_BRIE	REEL_LUCKY_ORCS_FOOT,MY_FIRST_SHIELD,REEL_BLOODY_BAT
4-13	36	2	BLUE	6	248	0	CH6_COMBAT_SM	BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NINJA_DWARF,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_FIRE_IMP,NPC_FIRE_IMP,POLEMASTER,UNSTABLE_UNDERSTUDY,[boss]CENTAUR_OF_ATTENTION	STOLEN_SNEAKERS,MY_FIRST_SHIELD,REEL_BLOODY_BAT	PENETRABLE_ARMOR,SHARD_REEL_THE_MAD_GODS_TRIDENT,SHARD_REEL_LEAD_ZEPPELIN
4-14	37	2	BLUE	6	252	0	CH6_COMBAT_SM	NPC_STONE_IMP,ELECTROYETI,UNSTABLE_UNDERSTUDY	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	ROLLER_WARRIOR,[boss]POLEMASTER,NPC_MYSTIC_WILDLING,CENTAUR_OF_ATTENTION,NPC_ICE_GOLEM	SHARD_REEL_THE_MAD_GODS_TRIDENT,SHARD_REEL_LASER_POINTER,SHARD_REEL_NECRONOMICON	FINE_BRIE,REEL_BLOODY_BAT,PAPER_CROWN
4-15	38	2	BLUE	6	255	1	CH6_COMBAT_2	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM,NPC_ICE_GOLEM	DRAGON_LADY,UNSTABLE_UNDERSTUDY,ELECTROYETI,[boss]ROLLER_WARRIOR,FAITH_HEALER	SHARD_REEL_TOME_OF_FORBIDDEN_TRIVIA,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SMARTY_PANTS	PROTEIN_POWDER,FINE_BRIE,FOAM_FINGER
4-16	38	2	BLUE	6	259	0	CH6_COMBAT_SM	NINJA_DWARF,ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM	DRAGON_LADY,UNSTABLE_UNDERSTUDY,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,NPC_MYSTIC_WILDLING,COSMIC_ELF,CENTAUR_OF_ATTENTION,[boss]CRIMSON_WITCH	SHARD_REEL_LEAD_ZEPPELIN,SHARD_REEL_INTIMIDATING_BEARD,PENETRABLE_ARMOR	SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,SHARD_REEL_NECRONOMICON,GOBLIN_GROG
4-17	40	2	BLUE	6	262	0	CH6_COMBAT_SM	ROLLER_WARRIOR,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	BROZERKER,[boss]COSMIC_ELF,ELECTROYETI,NPC_WILDLING_ARCHER,CENTAUR_OF_ATTENTION	REEL_BLOODY_BAT,REEL_CHUNKY_FEMUR,FINE_BRIE	SMARTY_PANTS,SHARD_REEL_ORB_OF_EVERLASTING_FLAVOR,PAPER_CROWN
4-18	41	2	BLUE	6	265	1	CH6_COMBAT_4	NPC_STONE_IMP,NPC_FIRE_IMP,ELECTROYETI,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_FIRE_IMP,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,[boss]MOON_DRAKE,FAITH_HEALER	SHARD_REEL_THE_COMPENSATOR,REEL_LUCKY_ORCS_FOOT,MY_FIRST_SHIELD	CAPTAINS_TIGHTPANTS,SMARTY_PANTS,FOAM_FINGER
5-0	39	2	BLUE_1	6	269	1	CH4_COMBAT_4	NPC_GOBLIN,UNSTABLE_UNDERSTUDY	NPC_GOBLIN,NPC_GOBLIN,NPC_HEALER_SPRITE	BROZERKER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,[boss]CENTAUR_OF_ATTENTION,ELECTROYETI	GOBLIN_GROG,SHARD_REEL_THINKING_CAP,SHARD_REEL_INTIMIDATING_BEARD,STICK_ON_MOUSTACHE	GOBLIN_GROG,BANJO_OF_DUELING,FREE_MANS_CROWBAR
5-1	39	2	BLUE_1	6	272	0	CH2_COMBAT_SM	NPC_STONE_IMP,NPC_WILDLING_SNIPER	NPC_STONE_IMP,NPC_STONE_IMP,NPC_WILDLING_SNIPER	ROLLER_WARRIOR,[boss]ELECTROYETI,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE,CRIMSON_WITCH	GOBLIN_GROG,REEL_SPARKLE_PONY_KEYCHAIN,WAND_OF_GOLD_SPARKLES	SHARD_REEL_THINKING_CAP,FINE_BRIE,ENCHANTED_ELBOW_PADS
5-2	40	2	BLUE_1	6	276	0	CH2_COMBAT_SM	NPC_FIRE_IMP,UNSTABLE_UNDERSTUDY	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]POLEMASTER,NINJA_DWARF,COSMIC_ELF,FAITH_HEALER,CENTAUR_OF_ATTENTION	SHARD_REEL_THINKING_CAP,RAW_EGG,GOBLIN_GROG	SHARD_REEL_INTIMIDATING_BEARD,MY_FIRST_SHIELD,LOADED_DIE
5-3	41	2	BLUE_1	6	279	1	CH2_COMBAT_2	BROZERKER,MINOTAUR	NINJA_DWARF,NPC_HEALER_SPRITE,NPC_ICE_GOLEM,NPC_ICE_GOLEM	DRAGON_LADY,ROLLER_WARRIOR,NPC_HEALER_SPRITE,[boss]ELECTROYETI,NPC_HEALER_SPRITE,CRIMSON_WITCH	DAISY_CHAINSAW,ARTIFACT_OF_UNIMAGINABLE_POWER,SHARD_REEL_INTIMIDATING_BEARD,SHARD_ADAMANTIUM_TIARA	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS,LOADED_DIE
5-4	41	2	BLUE_1	6	283	0	CH2_COMBAT_SM	DRAGON_LADY,COSMIC_ELF	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN	[boss]POLEMASTER,ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,CENTAUR_OF_ATTENTION	SHARD_REEL_INTIMIDATING_BEARD,CAPTAINS_TIGHTPANTS,REEL_SHINY_BOTTLECAP	DAISY_CHAINSAW,STICK_ON_MOUSTACHE,BIT_O_NIP
5-5	43	2	BLUE_1	6	286	0	CH2_COMBAT_SM	POLEMASTER,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE	BROZERKER,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE	ROLLER_WARRIOR,DRAGON_LADY,[boss]CRIMSON_WITCH,COSMIC_ELF,NPC_CRYSTAL_GOLEM,NPC_CRYSTAL_GOLEM	STICK_ON_MOUSTACHE,SHARD_AND_MY_AXE,REEL_PRETTY_SWEET_CAPE	ARTIFACT_OF_UNIMAGINABLE_POWER,DAISY_CHAINSAW,RUBBER_VEST
5-6	44	2	BLUE_1	6	290	1	CH2_COMBAT_3	NINJA_DWARF,NPC_FIRE_IMP,NPC_ICE_GOLEM	NPC_STONE_IMP,NPC_STONE_IMP,NPC_CRYSTAL_GOLEM,NPC_ICE_GOLEM	[boss]DARK_DRACUL,UNSTABLE_UNDERSTUDY,ELECTROYETI,CENTAUR_OF_ATTENTION,FAITH_HEALER	YA_VAMPIRE_SERIES,BANJO_OF_DUELING,SHARD_REEL_FLAIL_OF_TOTAL_DEVASTATION,SHARD_VORPAL_BOOMERANG	HEMP_BRACELET,ARTIFACT_OF_UNIMAGINABLE_POWER,REEL_BLOODY_BAT
5-7	44	2	BLUE_1	6	293	0	CH2_COMBAT_SM	ROLLER_WARRIOR,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	DARK_DRACUL,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,[boss]BROZERKER,UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,CRIMSON_WITCH	DAISY_CHAINSAW,SHARD_FRAMED_DIPLOMA,IRON_ORE	SHARD_ADAMANTIUM_TIARA,SHARD_REEL_INTIMIDATING_BEARD,STOLEN_SNEAKERS
5-8	45	2	BLUE_1	6	297	0	CH2_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,UNSTABLE_UNDERSTUDY	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,COSMIC_ELF,CENTAUR_OF_ATTENTION	[boss]ROLLER_WARRIOR,DRAGON_LADY,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE,NPC_WILDLING_SNIPER	ARTIFACT_OF_UNIMAGINABLE_POWER,SHARD_SACRED_CODEX,GOBLIN_GROG	YA_VAMPIRE_SERIES,SHARD_ADAMANTIUM_TIARA,REEL_CHUNKY_FEMUR
5-9	46	2	BLUE_1	6	300	1	CH4_COMBAT_4	NPC_STONE_IMP,COSMIC_ELF	NPC_STONE_IMP,NPC_STONE_IMP,UNSTABLE_UNDERSTUDY,NPC_ICE_GOLEM	BROZERKER,[boss]DRAGON_LADY,ROLLER_WARRIOR,NPC_WILDLING_SNIPER,CRIMSON_WITCH	REEL_VAMPIRE_BUNNYEARS,FOAM_FINGER,SHARD_REEL_INTIMIDATING_BEARD,SHARD_REEL_DEATH_METAL_BLADE	BANJO_OF_DUELING,GLOVES_OF_CRIT,REEL_GOBLIN_WHACKER
